"","date","state","temp","ah","o3","flu","fluT","flulike","flulikeT","fluP","flu_Year","fluR"
"20",2011-02-13,"Alaska",-12.4149335494825,2.01879121790225,43.7142857142857,107,236,69,1557,0.0200924202344796,901.2,0.11873058144696
"21",2011-02-20,"Alaska",-7.94324808615222,2.56688682078703,44,100,226,65,2215,0.0129846780798658,901.2,0.110963160230803
"22",2011-02-27,"Alaska",-11.7875411462415,1.56978915183777,47.4821428571429,105,205,116,2377,0.0249956391023734,901.2,0.116511318242344
"23",2011-03-06,"Alaska",-8.76774125929385,2.00116809220445,46.6607142857143,116,249,87,2462,0.0164622747692639,901.2,0.128717265867732
"24",2011-03-13,"Alaska",-8.40757608030354,2.29483515393678,46.8214285714286,60,159,62,2307,0.0101414072020348,901.2,0.066577896138482
"25",2011-03-20,"Alaska",-2.72283390841145,3.50896763285012,49.7857142857143,55,146,48,1587,0.0113939456715954,901.2,0.0610297381269419
"26",2011-03-27,"Alaska",-5.58056189572292,3.0275702696213,39.1964285714286,25,114,51,2379,0.00470122342426053,901.2,0.0277407900577008
"27",2011-04-03,"Alaska",-3.48962780419123,3.56017951544592,42.375,18,105,49,2219,0.00378548895899054,901.2,0.0199733688415446
"28",2011-04-10,"Alaska",-4.99955874551893,2.98183942694644,37.3511904761905,9,74,31,2271,0.00166018065621764,901.2,0.0099866844207723
"29",2011-04-17,"Alaska",-0.710212211127378,3.7775689961588,40.0416666666667,7,68,31,2195,0.00145383893876457,901.2,0.00776742121615624
"30",2011-04-24,"Alaska",2.22508111964188,4.81783191034825,42.6011904761905,0,47,17,1990,0,901.2,0
"31",2011-05-01,"Alaska",1.97105903863955,4.79136308540814,42.7525510204082,6,46,17,2130,0.00104102878138396,901.2,0.0066577896138482
"32",2011-05-08,"Alaska",3.65267352135453,4.57628187134724,43.218820861678,0,47,7,1946,0,901.2,0
"33",2011-05-15,"Alaska",7.17006814998919,5.88116130376842,45.75,0,42,6,1959,0,901.2,0
"34",2011-05-22,"Alaska",9.9097269990901,6.83980088469766,46.8191609977324,0,21,14,1953,0,901.2,0
"35",2011-05-29,"Alaska",9.72874300959985,7.36912534061992,38.5238095238095,0,16,7,1910,0,901.2,0
"36",2011-06-05,"Alaska",9.2995640702164,7.32238829761148,38.078514739229,0,18,11,1828,0,901.2,0
"37",2011-06-12,"Alaska",9.96255198892952,7.64956073721877,31.7678571428571,0,17,10,1810,0,901.2,0
"38",2011-06-19,"Alaska",11.4555984459544,8.74825147167224,29.281746031746,0,12,14,1832,0,901.2,0
"39",2011-06-26,"Alaska",11.0770236380971,8.87764454239838,27.3422619047619,0,12,10,1788,0,901.2,0
"40",2011-07-03,"Alaska",11.2777597049428,8.67156248693006,26.2053571428571,0,10,9,1797,0,901.2,0
"41",2011-07-10,"Alaska",11.6051356083098,9.21379540652999,24.4275793650794,0,10,12,1794,0,901.2,0
"42",2011-07-17,"Alaska",12.355902482227,9.38686583636304,24.3843537414966,0,10,6,1890,0,901.2,0
"43",2011-07-24,"Alaska",12.0783513172441,10.0464906313865,20.6692176870748,0,20,8,1948,0,901.2,0
"44",2011-08-14,"Alaska",11.6491354456133,9.58164062479169,17.796768707483,0,11,6,1859,0,901.2,0
"45",2011-08-21,"Alaska",10.2229568334025,8.8482582396701,21.7633928571429,0,13,3,1817,0,901.2,0
"46",2011-08-28,"Alaska",10.2134247101102,9.00927974418711,20.3520408163265,0,15,17,1860,0,901.2,0
"47",2011-09-04,"Alaska",9.25640213555105,8.16755769274248,21.811862244898,0,29,16,1850,0,901.2,0
"48",2011-09-11,"Alaska",9.46969271054129,8.19014752642068,24.9196428571429,2,27,19,1934,0.000727718411275805,901.2,0.00221926320461607
"49",2011-09-18,"Alaska",7.78198251945993,7.42111008497938,24.8080357142857,0,46,24,1956,0,901.2,0
"50",2011-09-25,"Alaska",4.64262668852081,5.95530720907862,17.4710884353741,1,57,29,2384,0.000213411044389497,901.2,0.00110963160230803
"51",2011-10-02,"Alaska",3.98574308588037,5.8639043896911,17.8560799319728,0,54,58,3517,0,901.2,0
"52",2011-10-09,"Alaska",3.03186282093698,5.48428859299602,16.3658588435374,1,37,38,2527,0.000406421459053038,901.2,0.00110963160230803
"53",2011-10-16,"Alaska",1.36226623679869,5.13313548140042,13.8080357142857,1,59,32,3207,0.000169121571985012,901.2,0.00110963160230803
"54",2011-10-23,"Alaska",0.230987085171438,4.744666085193,20.4821428571429,1,40,30,3448,0.000217517401392111,901.2,0.00110963160230803
"55",2011-10-30,"Alaska",-3.62772192229587,3.52354274083357,20.6830357142857,1,60,11,1483,0.000123623286131715,901.2,0.00110963160230803
"56",2011-11-06,"Alaska",-4.562935723594,3.48718206782228,25.7690476190476,1,47,25,2129,0.000249842599162528,901.2,0.00110963160230803
"57",2011-11-13,"Alaska",-10.990386870036,2.35002953994135,21.6535714285714,0,47,9,1764,0,901.2,0
"58",2011-11-20,"Alaska",-14.4017456329265,1.90932632344626,20.6160714285714,1,37,10,1728,0.000156406406406406,901.2,0.00110963160230803
"59",2011-11-27,"Alaska",-10.0149708226488,2.84541733840306,24.2083333333333,1,48,20,2087,0.00019964861843156,901.2,0.00110963160230803
"60",2011-12-04,"Alaska",-3.25898153985203,3.93793584710541,30.7380952380952,0,50,15,2133,0,901.2,0
"61",2011-12-11,"Alaska",-5.10823520929635,3.50205215878668,27.3392857142857,0,47,11,1948,0,901.2,0
"62",2011-12-18,"Alaska",-6.98001306081386,3.17023549305517,29.25,0,63,10,1936,0,901.2,0
"63",2011-12-25,"Alaska",-17.4244034737782,1.66579817490288,19.9821428571429,1,72,12,1812,0.0000919793966151582,901.2,0.00110963160230803
"64",2012-01-01,"Alaska",-19.6371354908137,1.90520924653294,28.2857142857143,1,95,13,1867,0.0000732951822512897,901.2,0.00110963160230803
"65",2012-01-08,"Alaska",-16.6784674902901,2.08865200796507,31.7232142857143,2,94,9,1775,0.00010788133053641,901.2,0.00221926320461607
"66",2012-01-15,"Alaska",-17.3084907070666,1.36823865001049,22.8482142857143,0,88,14,1833,0,901.2,0
"67",2012-01-22,"Alaska",-20.3252099306924,1.55859691717697,23.7410714285714,1,94,28,1871,0.000159204885315624,901.2,0.00110963160230803
"68",2012-01-29,"Alaska",-17.6904172111199,2.37343423802596,22.3839285714286,4,96,11,1312,0.000349339430894309,901.2,0.00443852640923214
"69",2012-02-05,"Alaska",-2.78058424482037,3.72390656104139,21.6468253968254,0,75,13,2111,0,901.2,0
"70",2012-02-12,"Alaska",-3.6445053898238,3.66857613817266,22.672619047619,4,97,8,2218,0.0001487362070408,901.2,0.00443852640923214
"71",2012-02-19,"Alaska",-8.23778116586345,2.76906708486298,27.5952380952381,5,116,10,2146,0.000200854838191342,901.2,0.00554815801154017
"72",2012-02-26,"Alaska",-13.3203313102556,2.12733157475348,30.202380952381,13,115,19,2249,0.000955013822568485,901.2,0.0144252108300044
"73",2012-03-04,"Alaska",-12.7197042451255,2.17583491769402,35.1726190476191,10,112,13,2041,0.00056869881710646,901.2,0.0110963160230803
"74",2012-03-11,"Alaska",-13.1868119913045,1.88720387854082,30.4325396825397,19,101,25,1878,0.0025042440346271,901.2,0.0210830004438526
"75",2012-03-18,"Alaska",-12.6429634848514,1.88358239634215,30.2321428571429,34,123,23,2025,0.003139616581351,901.2,0.0377274744784731
"76",2012-03-25,"Alaska",-5.54630267854629,3.12486533117994,38.0178571428571,32,123,18,1955,0.00239535899195309,901.2,0.0355082112738571
"77",2012-04-01,"Alaska",-5.78935624560986,3.0510211555466,38.2460317460317,52,138,37,2204,0.00632578447618296,901.2,0.0577008433200178
"78",2012-04-08,"Alaska",-0.559968403469358,3.98873646722476,44.9265873015873,54,142,54,2327,0.00882475774284728,901.2,0.0599201065246338
"79",2012-04-15,"Alaska",0.964139904874145,4.52051856663373,41.2321428571429,53,148,51,2328,0.00784515185288381,901.2,0.0588104749223258
"80",2012-04-22,"Alaska",2.26856385521772,4.62716637410175,41.8333333333333,54,129,45,2458,0.00766363275114955,901.2,0.0599201065246338
"81",2012-04-29,"Alaska",-0.725242078377084,3.95118517439636,46.1428571428571,41,115,41,2203,0.00663522074641299,901.2,0.0454948956946294
"82",2012-05-06,"Alaska",1.54697358760193,4.72774184169319,43.1904761904762,39,113,35,2370,0.00509689705388148,901.2,0.0432756324900133
"83",2012-05-13,"Alaska",4.42914854918858,5.10970762932392,42.015873015873,49,119,22,2111,0.00429124752695962,901.2,0.0543719485130936
"84",2012-05-20,"Alaska",7.03505585795235,6.44179523002706,37.2698412698413,26,86,17,2256,0.00227816262576282,901.2,0.0288504216600089
"85",2012-05-27,"Alaska",6.81920128276521,6.23537824733558,34.6641156462585,11,62,11,2104,0.00092757267263584,901.2,0.0122059476253884
"86",2012-06-03,"Alaska",9.19953164785498,7.43212851572844,32.2397959183673,10,49,5,1803,0.000565950173746703,901.2,0.0110963160230803
"87",2012-06-10,"Alaska",9.27602427976016,7.61485841885889,29.1488095238095,12,52,6,1767,0.000783596708893823,901.2,0.0133155792276964
"88",2012-06-17,"Alaska",11.4697860154781,8.28642326722684,35.1309523809524,14,39,5,1865,0.000962397745239568,901.2,0.0155348424323125
"89",2012-06-24,"Alaska",10.228892144462,8.67633380744058,24.6607142857143,5,43,8,1869,0.000497716724526236,901.2,0.00554815801154017
"90",2012-07-01,"Alaska",10.9119190063384,8.72973946567387,27.5751488095238,1,28,7,1840,0.000135869565217391,901.2,0.00110963160230803
"91",2012-07-08,"Alaska",11.1531591519445,8.83736047929482,26.8307823129252,7,37,6,1836,0.000618265324147677,901.2,0.00776742121615624
"92",2012-07-15,"Alaska",11.4165492481969,9.32895983237624,22.2782738095238,9,53,6,1972,0.000516667304527536,901.2,0.0099866844207723
"93",2012-07-22,"Alaska",12.4440703078842,10.1907262170148,24.5216836734694,5,40,6,2052,0.000365497076023392,901.2,0.00554815801154017
"94",2012-07-29,"Alaska",11.0194422697356,9.53724222762422,22.0418792517007,4,34,5,1902,0.000309271973773737,901.2,0.00443852640923214
"95",2012-08-05,"Alaska",11.3965772918561,9.41878146776078,23.4970238095238,0,40,5,1838,0,901.2,0
"96",2012-08-12,"Alaska",13.031976909305,10.1470637400337,30.0714285714286,4,43,2,2040,0.0000911992704058368,901.2,0.00443852640923214
"97",2012-08-19,"Alaska",10.8336613911912,9.31056567654761,24.6741071428571,8,46,3,2003,0.000260478846946971,901.2,0.00887705281846427
"98",2012-08-26,"Alaska",10.0839936141323,8.81669219882403,21.9107142857143,3,39,3,1993,0.000115789879964491,901.2,0.0033288948069241
"99",2012-09-02,"Alaska",8.76893243376051,8.10878774191096,26.468112244898,2,51,12,1962,0.000239851292198837,901.2,0.00221926320461607
"100",2012-09-09,"Alaska",7.01121864874075,6.87389677113367,23.6130952380952,2,56,13,2068,0.000224509533020171,901.2,0.00221926320461607
"101",2012-09-16,"Alaska",7.76768758895271,7.62948307164229,30.1226615646259,8,52,4,1745,0.00035265594004849,901.2,0.00887705281846427
"102",2012-09-23,"Alaska",5.58621531264822,6.35012892519344,26.2627551020408,8,56,7,1232,0.000811688311688312,901.2,0.00887705281846427
"103",2012-09-30,"Alaska",5.50719567343651,6.60204998787403,22.2232142857143,10,72,27,2252,0.0016651865008881,901.2,0.0110963160230803
"104",2012-10-07,"Alaska",3.79347919437242,5.87786700418693,20.9124149659864,3,58,17,2007,0.000438121746301737,901.2,0.0033288948069241
"105",2012-10-14,"Alaska",-1.14630450758908,3.99230387299895,22.6425736961451,11,78,23,2332,0.00139090469279149,901.2,0.0122059476253884
"106",2012-10-21,"Alaska",-2.73965614370882,3.34894851491635,19.3673469387755,29,105,27,2298,0.00324505781424841,901.2,0.032179316466933
"107",2012-10-28,"Alaska",-3.96220412017637,3.08048530070651,23.8303571428571,28,122,31,2254,0.00315650137460544,901.2,0.0310696848646249
"108",2012-11-04,"Alaska",-5.65134257051203,3.2014737701309,23.9409013605442,29,124,25,1880,0.00310998627316404,901.2,0.032179316466933
"109",2012-11-11,"Alaska",-5.88672424820378,3.29600027318551,25.6007653061224,36,118,21,2025,0.0031638418079096,901.2,0.0399467376830892
"110",2012-11-18,"Alaska",-11.4774483562773,1.97236211685784,21.9336734693878,49,130,38,2280,0.00628205128205128,901.2,0.0543719485130936
"111",2012-11-25,"Alaska",-10.3250521032161,2.23697968594271,20.9107142857143,97,204,35,2296,0.00724832615973219,901.2,0.107634265423879
"112",2012-12-02,"Alaska",-14.5806645052569,1.79907924560441,19.0216836734694,49,146,32,2134,0.00503267386475973,901.2,0.0543719485130936
"113",2012-12-09,"Alaska",-9.10880638949736,3.08128464394317,25.9948979591837,50,145,62,2200,0.00971786833855799,901.2,0.0554815801154017
"114",2012-12-16,"Alaska",-15.3907999710352,1.7290843947886,21.9464285714286,49,119,46,2075,0.00912827781715096,901.2,0.0543719485130936
"115",2012-12-23,"Alaska",-9.11502787233848,2.56204820024142,21.7857142857143,58,137,81,1986,0.0172668533750855,901.2,0.064358632933866
"116",2012-12-30,"Alaska",-2.55388044501749,3.98412779585317,29.4540816326531,28,102,46,2124,0.0059451275802223,901.2,0.0310696848646249
"117",2013-01-06,"Alaska",-5.56734769968984,3.42885373202745,23.5982142857143,27,131,49,2164,0.00466693005601727,901.2,0.0299600532623169
"118",2013-01-13,"Alaska",-7.14916386998243,3.30223563205528,30.5803571428571,25,131,56,2211,0.00483356983300016,901.2,0.0277407900577008
"119",2013-01-20,"Alaska",-7.70877663890268,3.06523131270397,28.9489795918367,32,141,18,1837,0.00222379226073964,901.2,0.0355082112738571
"120",2013-01-27,"Alaska",-10.7988487717059,2.69595899755162,27,18,124,55,2221,0.00359471903095089,901.2,0.0199733688415446
"121",2013-02-03,"Alaska",-7.27767501339712,3.32902074617798,30.2678571428571,16,109,36,2297,0.00230056755321061,901.2,0.0177541056369285
"122",2013-02-10,"Alaska",-8.05826629548117,2.97441396496048,28.6632653061225,11,86,23,2193,0.0013414776402719,901.2,0.0122059476253884
"123",2013-02-17,"Alaska",-12.4400219543455,2.35752324136929,28.0178571428571,11,78,21,2339,0.00126615581938369,901.2,0.0122059476253884
"124",2013-02-24,"Alaska",-9.62952708223494,2.64580329378142,29.2410714285714,13,68,24,2331,0.00196835490953138,901.2,0.0144252108300044
"125",2013-03-03,"Alaska",-3.10102315445778,3.72544972560568,33.6828231292517,12,94,14,2417,0.000739443128900783,901.2,0.0133155792276964
"126",2013-03-10,"Alaska",-7.58234363411468,2.48486842940979,41.4618055555556,11,69,14,1238,0.00180281426330453,901.2,0.0122059476253884
"127",2013-03-17,"Alaska",-8.67431143441961,2.33060595027196,39.4910714285714,9,68,12,1184,0.00134141494435612,901.2,0.0099866844207723
"128",2013-03-24,"Alaska",-9.07576078927318,2.64151742112605,34.1488095238095,14,69,14,1528,0.0018590181349116,901.2,0.0155348424323125
"129",2013-03-31,"Alaska",-3.98687594253471,3.31163791877286,42.5892857142857,7,57,5,1498,0.000409903262829972,901.2,0.00776742121615624
"130",2013-04-07,"Alaska",-9.55953688152484,2.21452198542722,30.3541666666667,6,37,11,1539,0.00115905379063274,901.2,0.0066577896138482
"131",2013-04-14,"Alaska",-3.84503293283874,2.88999140393283,44.7767857142857,12,73,22,1672,0.00216294160057678,901.2,0.0133155792276964
"132",2013-04-21,"Alaska",-0.149571316572795,3.91328998103572,48.0752551020408,15,59,12,1525,0.00200055570991942,901.2,0.0166444740346205
"133",2013-04-28,"Alaska",-1.54760349751898,3.81138474311577,37.8125,8,39,5,584,0.00175623463294696,901.2,0.00887705281846427
"134",2013-05-05,"Alaska",2.52733423933358,4.72164943688087,47.2959183673469,11,35,2,1156,0.000543746910528917,901.2,0.0122059476253884
"135",2013-05-12,"Alaska",0.893478087982194,4.53226330631738,34.1173469387755,10,37,7,617,0.00306627535152657,901.2,0.0110963160230803
"136",2013-05-19,"Alaska",5.32501635342023,5.52843496770062,40.4107142857143,2,26,11,1833,0.000461622392882622,901.2,0.00221926320461607
"137",2013-05-26,"Alaska",9.92576490571314,6.94522502147984,43.3938492063492,0,25,3,1836,0,901.2,0
"138",2013-06-02,"Alaska",8.66567508696666,7.20633673340629,32.464880952381,2,27,3,1695,0.000131104555883317,901.2,0.00221926320461607
"139",2013-06-09,"Alaska",11.4709911525658,7.95970639353707,33.7291666666667,1,21,2,1615,0.0000589709568037741,901.2,0.00110963160230803
"140",2013-06-16,"Alaska",14.5943144857341,9.36354581453884,37.9030612244898,5,17,1,1769,0.000166262095567453,901.2,0.00554815801154017
"141",2013-06-23,"Alaska",13.5255861244833,9.84112342578696,33.8482142857143,1,23,0,1221,0,901.2,0.00110963160230803
"142",2013-06-30,"Alaska",11.1602562487291,9.34294645420318,27.9196428571429,4,19,0,1196,0,901.2,0.00443852640923214
"143",2013-07-07,"Alaska",12.4777120459224,9.55304111964587,24.0267857142857,9,27,3,1357,0.000736919675755343,901.2,0.0099866844207723
"144",2013-07-14,"Alaska",13.6652971643644,10.7480448795981,21.8482142857143,4,23,4,1884,0.000369242130527093,901.2,0.00443852640923214
"145",2013-07-21,"Alaska",14.1691032928867,10.8183165544613,21.8660714285714,7,21,3,1834,0.00054525627044711,901.2,0.00776742121615624
"146",2013-07-28,"Alaska",15.2614918911643,11.5472594685053,24.4553571428571,5,28,1,1918,0.0000931029346044987,901.2,0.00554815801154017
"147",2013-08-04,"Alaska",13.195240442655,10.601937371584,26.8571428571429,3,16,6,1661,0.00067730282962071,901.2,0.0033288948069241
"148",2013-08-11,"Alaska",12.7890680656989,10.4266490486393,24.6760204081633,1,17,5,1789,0.000164403380133496,901.2,0.00110963160230803
"149",2013-08-18,"Alaska",11.2318969064958,9.65356408816303,21.3915816326531,1,13,3,1662,0.000138850319355735,901.2,0.00110963160230803
"150",2013-08-25,"Alaska",10.3287404526869,8.60836856986597,23.6220238095238,0,23,4,1704,0,901.2,0
"151",2013-09-01,"Alaska",10.0797628070009,9.03414595941707,22.4119897959184,3,37,5,1353,0.000299634445975909,901.2,0.0033288948069241
"152",2013-09-08,"Alaska",9.34722552639477,8.65830282654248,22.6785714285714,5,33,9,1479,0.000921998893601328,901.2,0.00554815801154017
"153",2013-09-15,"Alaska",5.99434354110106,6.40672046765071,21.8537414965986,1,23,15,1677,0.000388893209924555,901.2,0.00110963160230803
"154",2013-09-22,"Alaska",4.73391963574606,6.01658051389948,22.3210034013605,1,38,9,1740,0.000136116152450091,901.2,0.00110963160230803
"155",2013-09-29,"Alaska",3.68632454776561,5.43278387231052,16.9247448979592,0,37,13,2084,0,901.2,0
"156",2013-10-06,"Alaska",4.82830783778894,6.54914040656395,25.8511904761905,0,46,15,1788,0,901.2,0
"157",2013-10-13,"Alaska",5.99188248272032,7.01494281846173,28.4732142857143,8,64,14,2136,0.000819288389513109,901.2,0.00887705281846427
"158",2013-10-20,"Alaska",3.40633849267422,5.87310631993467,24.0216836734694,5,48,14,2185,0.00066742944317315,901.2,0.00554815801154017
"159",2013-10-27,"Alaska",2.32836587227268,5.55044585484047,23.6390306122449,4,47,10,2185,0.000389502896927796,901.2,0.00443852640923214
"160",2013-11-03,"Alaska",-0.833045209592019,4.42038283939229,21.8762755102041,7,87,13,2308,0.000453196278810335,901.2,0.00776742121615624
"161",2013-11-10,"Alaska",-1.30288838675126,4.29195044965351,26.1977040816327,4,80,9,2097,0.000214592274678112,901.2,0.00443852640923214
"162",2013-11-17,"Alaska",-10.1649160920864,2.27739621485802,24.9821428571429,12,91,9,2046,0.000580065096194128,901.2,0.0133155792276964
"163",2013-11-24,"Alaska",-7.71058899259176,2.97252538686247,20.2448979591837,10,84,6,1866,0.000382789771857296,901.2,0.0110963160230803
"164",2013-12-01,"Alaska",-4.78527434911242,3.66593716163174,24.4285714285714,39,111,11,1867,0.00207009366088102,901.2,0.0432756324900133
"165",2013-12-08,"Alaska",-6.08304851787886,3.39782144077506,27.7755102040816,65,159,25,1810,0.00564647833489697,901.2,0.0721260541500222
"166",2013-12-15,"Alaska",-10.2402127457836,2.57598981471651,23.5221088435374,98,168,62,1920,0.0188368055555556,901.2,0.108743897026187
"167",2013-12-22,"Alaska",-12.1249940655459,2.52822692520653,25.8660714285714,85,150,104,1959,0.0300833758720436,901.2,0.0943186861961829
"168",2013-12-29,"Alaska",-5.7583293487804,3.43041885520354,22.1875,26,41,78,1986,0.0249060496647263,901.2,0.0288504216600089
"169",2014-01-05,"Alaska",-4.8869722473084,3.71203201860425,20,17,42,76,2229,0.0138007648101861,901.2,0.0188637372392366
"170",2014-01-12,"Alaska",-8.66567462765802,3.23218302161057,28.5,44,148,48,1925,0.00741312741312741,901.2,0.0488237905015535
"171",2014-01-19,"Alaska",-0.538485426190733,4.69571627372058,27.4107142857143,47,150,39,2107,0.00579971523493118,901.2,0.0521526853084776
"172",2014-01-26,"Alaska",-0.470513815969131,4.54731210254331,19.8928571428571,30,117,42,2250,0.00478632478632479,901.2,0.033288948069241
"173",2014-02-02,"Alaska",-5.36704090904989,3.04144160991713,25.4336734693878,12,88,33,2050,0.00219512195121951,901.2,0.0133155792276964
"174",2014-02-09,"Alaska",-14.1812800155259,1.63074228692355,21.875,14,113,33,1924,0.00212499770021894,901.2,0.0155348424323125
"175",2014-02-16,"Alaska",-12.7113632448121,2.01484551490392,24.5344387755102,2,95,12,1807,0.000139807182594006,901.2,0.00221926320461607
"176",2014-02-23,"Alaska",-3.15357842246046,3.30229356284831,27.6160714285714,5,99,20,2374,0.000425484839975152,901.2,0.00554815801154017
"177",2014-03-02,"Alaska",-8.65720787218633,2.302353115057,29.3035714285714,7,64,22,2334,0.00103095544130249,901.2,0.00776742121615624
"178",2014-03-09,"Alaska",-8.61568982391536,2.59087422453614,34.9349489795918,8,70,6,1327,0.000516740230380019,901.2,0.00887705281846427
"179",2014-03-16,"Alaska",-6.24320593865596,2.65693273279662,34.6339285714286,4,57,17,2297,0.000519365457614432,901.2,0.00443852640923214
"180",2014-03-23,"Alaska",-3.38017848161399,2.66501163003797,43.4005102040816,2,51,19,2060,0.000361698077289168,901.2,0.00221926320461607
"181",2014-03-30,"Alaska",-3.53661230031228,3.17159992259601,40.6702097505669,2,62,19,2188,0.00028012030429911,901.2,0.00221926320461607
"182",2014-04-06,"Alaska",-5.6806123125466,2.83038323469548,38.0348639455782,3,47,13,1981,0.000418872909663076,901.2,0.0033288948069241
"183",2014-04-13,"Alaska",2.12983356674982,4.76076768543185,43.1839569160998,7,71,18,2122,0.000836309089219578,901.2,0.00776742121615624
"184",2014-04-20,"Alaska",3.51841634666841,4.74318100187848,40.4914965986395,7,75,17,2312,0.000686274509803922,901.2,0.00776742121615624
"185",2014-04-27,"Alaska",5.90995624760002,5.27567882582076,43.9742063492063,6,43,13,2311,0.000784921457538768,901.2,0.0066577896138482
"186",2014-05-04,"Alaska",5.00212548668274,5.33275595421678,38.9246031746032,10,41,20,2330,0.00209358316759133,901.2,0.0110963160230803
"187",2014-05-11,"Alaska",8.29887631907594,6.13227959087887,41.0496031746032,17,52,3,1173,0.000836120401337793,901.2,0.0188637372392366
"188",2014-05-18,"Alaska",6.30843869498489,5.31800496490176,35.5459656084656,22,53,11,1098,0.00415850431315943,901.2,0.0244118952507767
"189",2014-05-25,"Alaska",7.6007591288176,6.97456013125433,35.6329365079365,35,68,5,1045,0.0024627075710667,901.2,0.0388371060807812
"190",2014-06-01,"Alaska",8.3947366130583,6.93570119359024,26.4013605442177,37,70,9,540,0.00880952380952381,901.2,0.0410563692853972
"191",2014-06-08,"Alaska",8.42582003659424,7.33660104887921,28.1488095238095,20,48,1,642,0.000649013499480789,901.2,0.0221926320461607
"192",2014-06-15,"Alaska",9.73129183462348,7.98895875680173,23.6865079365079,24,70,2,575,0.00119254658385093,901.2,0.0266311584553928
"193",2014-06-22,"Alaska",10.8389463731028,8.73998690658847,22.9563492063492,17,67,0,583,0,901.2,0.0188637372392366
"194",2014-06-29,"Alaska",12.4742386182723,9.38369281781557,24.2453514739229,9,40,1,395,0.000569620253164557,901.2,0.0099866844207723
"195",2014-07-06,"Alaska",13.4194699058615,10.5164589938167,21.9192176870748,13,35,0,579,0,901.2,0.0144252108300044
"196",2014-07-13,"Alaska",12.1524794501297,9.64408135178034,19.1839569160998,9,36,4,564,0.00177304964539007,901.2,0.0099866844207723
"197",2014-07-20,"Alaska",11.0396622961972,9.04447716567498,20.0257936507937,7,25,0,43,0,901.2,0.00776742121615624
"198",2014-07-27,"Alaska",13.0440164686114,10.0476685163073,20.0416666666667,11,43,1,650,0.000393559928443649,901.2,0.0122059476253884
"199",2014-08-03,"Alaska",13.8324001229658,10.9077323079575,21.8418367346939,2,24,0,764,0,901.2,0.00221926320461607
"200",2014-08-10,"Alaska",13.9183168625626,10.8859225836186,24.0056689342404,2,20,0,678,0,901.2,0.00221926320461607
"201",2014-08-17,"Alaska",12.6298629464476,10.2340827737999,20.656462585034,1,16,3,678,0.000276548672566372,901.2,0.00110963160230803
"202",2014-08-24,"Alaska",11.0790967521971,9.40131452746889,23.484126984127,8,32,0,699,0,901.2,0.00887705281846427
"203",2014-08-31,"Alaska",9.14832786301162,7.94525962769717,24.7380952380952,11,36,0,693,0,901.2,0.0122059476253884
"204",2014-09-07,"Alaska",10.8753714750614,8.83923003889926,21.5958049886621,12,47,0,700,0,901.2,0.0133155792276964
